VendorName,SalesDollars,Dollars,Profit,margin_pct,Performance,LeadTimeDays
ADAMBA IMPORTS INTL INC    ,67576.22,76770.25,-9194.029999999999,-13.605422144061919,Underperformer,7.61
ALISA CARR BEVERAGES           ,118167.38,34951.68,83215.70000000001,70.42188800327129,Overperformer,6.81
ALTAMAR BRANDS LLC         ,15748.75,11706.199999999999,4042.550000000001,25.669021350900874,Underperformer,7.58
AMERICAN SPIRITS EXCHANGE  ,1719.97,1205.16,514.81,29.93133601167462,Overperformer,8.25
AMERICAN VINTAGE BEVERAGE  ,190134.63,156357.28,33777.350000000006,17.764964751555258,Underperformer,7.39
APPOLO VINEYARDS LLC       ,1616.92,2399.7,-782.7799999999997,-48.41179526507185,Underperformer,7.44
ATLANTIC IMPORTING COMPANY ,59272.75,41116.32,18156.43,30.632002058281422,Overperformer,8.1
BACARDI USA INC            ,25014556.89,17624378.72,7390178.170000002,29.543510214863538,Overperformer,7.7
BANFI PRODUCTS CORP        ,2646325.62,1628866.68,1017458.9400000002,38.44798736445744,Overperformer,7.47
BLACK COVE BEVERAGES       ,6256.87,14465.06,-8208.189999999999,-131.1868394261028,Underperformer,9.32
BLACK PRINCE DISTILLERY INC,11818.85,5971.94,5846.910000000001,49.471056828710076,Overperformer,7.94
BLACK ROCK SPIRITS LLC     ,2049.18,1152.1,897.0799999999999,43.77751100440176,Overperformer,8.05
BRONCO WINE COMPANY        ,2400.66,2071.9,328.75999999999976,13.69456732731831,Underperformer,7.84
BROWN-FORMAN CORP          ,18478557.47,13529433.08,4949124.389999999,26.783066795310827,Underperformer,7.55
BULLY BOY DISTILLERS       ,119484.53,117928.22,1556.3099999999977,1.30252008356228,Underperformer,7.26
CALEDONIA SPIRITS INC      ,278648.38,259604.7,19043.679999999993,6.834304940154324,Underperformer,7.81
CAMPARI AMERICA            ,5610527.4399999995,4141720.71,1468806.7299999995,26.179476808690193,Underperformer,7.35
CANDIA VINEYARDS           ,52623.33,36588.01,16035.32,30.471883858357117,Overperformer,7.55
CAPSTONE INTERNATIONAL     ,246.86999999999998,54.64,192.22999999999996,77.86689350670393,Overperformer,8.0
CASTLE BRANDS CORP.        ,2307511.25,1679383.91,628127.3400000001,27.220987113280597,Overperformer,7.47
CENTEUR IMPORTS LLC        ,7474.81,6237.08,1237.7300000000005,16.558681759135023,Underperformer,7.84
CHARLES JACQUIN ET CIE INC ,450266.16,329637.62,120628.53999999998,26.790496536537407,Underperformer,7.4
CONSTELLATION BRANDS INC   ,24469172.93,15573917.9,8895255.03,36.352904348042465,Overperformer,7.74
CRUSH WINES                ,420237.07,287189.9,133047.16999999998,31.660027041403076,Overperformer,7.67
Circa Wines                ,44618.75,42554.34,2064.4100000000035,4.62677685950414,Underperformer,6.95
DELICATO VINEYARDS INC     ,2357727.88,1561444.6300000001,796283.2499999998,33.773331382076194,Overperformer,7.68
DIAGEO CHATEAU ESTATE WINES,2185030.89,1365472.83,819558.06,37.50784777234888,Overperformer,7.42
DIAGEO NORTH AMERICA INC   ,68742416.99,50959796.85,17782620.139999993,25.868482544899233,Underperformer,7.55
DISARONNO INTERNATIONAL LLC,1725427.16,1141947.85,583479.3099999998,33.81651358727887,Overperformer,7.74
DJINN SPIRITS LLC          ,56731.229999999996,48830.78,7900.449999999997,13.926103840865073,Underperformer,7.94
DUGGANS DISTILLED PRODUCTS ,202338.62,184296.5,18042.119999999995,8.916795024103653,Underperformer,7.54
Dunn Wine Brokers          ,83061.33,72055.3,11006.029999999999,13.250486116704366,Underperformer,8.02
E & J GALLO WINERY         ,18556085.61,12289608.09,6266477.52,33.77047105572176,Overperformer,7.62
EDRINGTON AMERICAS         ,2632023.96,1882832.84,749191.1199999999,28.464449085030363,Overperformer,7.33
FABRIZIA SPIRITS LLC       ,396503.92,358390.62,38113.29999999999,9.61233876325863,Underperformer,7.67
FANTASY FINE WINES CORP    ,327.59000000000003,128.64,198.95000000000005,60.73140205744987,Overperformer,7.5
FLAG HILL WINERY & VINEYARD,411807.12,300403.2,111403.91999999998,27.052451157231083,Underperformer,8.02
FLAVOR ESSENCE INC         ,1474.4099999999999,17.0,1457.4099999999999,98.84699642568891,Overperformer,13.0
FORTUNE WINE BROKERS LLC   ,72952.93,46940.17,26012.759999999995,35.656909187883194,Overperformer,7.39
FREDERICK WILDMAN & SONS   ,1143044.57,759449.24,383595.3300000001,33.55908772656171,Overperformer,8.12
FULCHINO VINEYARD INC      ,14441.64,11147.77,3293.869999999999,22.808143673433204,Underperformer,8.38
GILMANTON WINERY & VINEYARD,3837.6,5393.04,-1555.44,-40.53158223889932,Underperformer,8.0
HAUNTING WHISPER VYDS      ,7325.89,5388.58,1937.3100000000004,26.44470501195077,Underperformer,7.97
HEAVEN HILL DISTILLERIES   ,3818178.29,2816661.94,1001516.3500000001,26.23021435701475,Underperformer,7.38
HIGHLAND WINE MERCHANTS LLC,1533.6799999999998,5500.32,-3966.64,-258.63543894423873,Underperformer,5.32
"HOOD RIVER DISTILLERS, Inc.",29403.289999999997,24035.96,5367.329999999998,18.254181759932305,Underperformer,7.81
